State	Minnesota			Minnesota COVID-19 Emergency Rental Assistance	The new program is called COVID-19 Emergency Rental Assistance and it will help eligible renters with overdue rent since March 2020, up to three months of upcoming rent at a time, and related utility payments. The program will be open for applications in a matter of weeks, with an anticipated launch in late March.  Eligible renters will include households that earned 80% or less of area median income in 2020 or in the most recent month. Landlords will be able to apply on behalf of their eligible tenants as well.	https://www.renthelpmn.org/	State of Minnesota, Anoka County	Applications on hold/Waitlist	Minnesota Housing, Twin Cities United Way 211, multiple nonprofits	Intergovernmental collaboration + private collaboration	Unspecified	Targeted outreach, Intake support, Application processing,	$544,805,313.95	Treasury ERA1 and Treasury ERA2	Both	15 months	15 months		Yes	18 months	Gas, electric, water/sewer, garbage/recycling and other utilities as approved	Yes	Late Fees, Hotel/Motel Stays, Uncategorized Housing Expenses	Both	Yes		Prioritization required, Process established on website	Past rent	First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent	Yes	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional, Lease	Unspecified	W-9/Payee Information, Rental Ledger/ Lease	https://www.mnhousing.gov/sites/Satellite?c=Page&cid=1520407740473&pagename=External%2FPage%2FEXTStandardLayout	https://www.mnhousing.gov/sites/Satellite?blobcol=urldata&blobheadername1=Content-Type&blobheadername2=Content-Disposition&blobheadername3=MDT-Type&blobheadervalue1=application%2Fpdf&blobheadervalue2=attachment%3B+filename%3DMHFA_250349.pdf&blobheadervalue3=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1533152339243&ssbinary=true	https://f.hubspotusercontent20.net/hubfs/19539973/RentHelpMN%20+%20Zero%20Balance%20Project%20Questions2.pdf	https://news.yahoo.com/minnesota-paid-more-100-million-180700371.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAADWtQE1FAZuw0wd0LjBk9DGVVAPjRPtoW0lvbiawhLIUSI7Pu14Jynkx4TIoeNAfzY4mLmCo6UyIAOf6dXNRZa1fb8m1KlIHF7r7sZ-vYZLafUBPGKqT1t6AyIRJ3RBeyXRaz3eNUCHBPmG1VszSWeTyi84wY5j5O4PZua-d0CZl	https://news.yahoo.com/mn-lawmakers-want-330m-restart-065100012.html		2/25/2021	7/19/2022	Minnesota	46.729553, -94.6858998
County	Minnesota	Ramsey County		Saint Paul - Ramsey County Rental Assistance	Emergency rental assistance is now available for Saint Paul residents. Program funds help eligible renters with rent and utility bills dated on or after March 13, 2020. Qualifying renters are able to receive up to 15 months in total financial assistance. Don’t wait to apply for help! Renters who have applied for help through a COVID-19 emergency rental assistance program cannot be evicted for nonpayment of rent through June 1, 2022. If you need help paying rent or utility bills, explore your options today. There are multiple emergency rental assistance programs in MN right now: RentHelpMN, The Zero Balance Project, and the local Saint Paul/Ramsey County program. Saint Paul and Ramsey County are coordinating with other programs to prevent duplicate payments of emergency rental assistance, which is required by federal guidelines.	https://www.ramseycounty.us/residents/assistance-support/assistance/financial-assistance/emergency-assistance	Ramsey County, St. Paul	Applications on hold/Waitlist	City of St. Paul, Ramsey County, Community Action Parnership	Intergovernmental collaboration + private collaboration	Unspecified	Targeted outreach	$25,140,189.17	Treasury ERA1 and Treasury ERA2	Both	15 months			Yes			Unknown		Tenant	Unknown		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease		Yes	Unknown		Unspecified	W-9/Payee Information, Eviction Restrictions During Covered Period	https://www.stpaul.gov/departments/planning-and-economic-development/housing/emergency-rent-assistance	https://www.ramseycounty.us/residents/assistance-support/assistance/financial-assistance/emergency-assistance					8/31/2021	7/19/2022	Ramsey County, Minnesota	44.9963986, -93.0615978
Region	Minnesota	Regional		The Zero Balance Project	The Zero Balance Project Landlord Application for Federal Emergency Rental Assistance (ERA) program allows landlords (property owners and managers) to apply for assistance on behalf of renters impacted by COVID-19. The program is established with pooled funding provided by the Counties of Dakota, Hennepin, and Ramsey and the Cities of Minneapolis and Saint Paul (Jurisdictions).	https://www.housinglink.org/List/emergency-rental-assistance	Dakota County, Hennepin County, Ramsey County, Minneapolis, St. Paul	Applications on hold/Waitlist	Dakota County, Hennepin County, Ramsey County, Minneapolis, St. Paul, Family Housing Fund, HousingLink	Intergovernmental collaboration + private collaboration	Unspecified	Targeted outreach	$32,061,532.13	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months		Yes		water, sewer, electric, gas, trash, recycling, bulk fuel	Yes	Late Fees, Uncategorized Housing Expenses	Landlord	Yes	10 days	Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease		Yes	Self-Attestation Permitted	COVID Hardship, Income, Income Non-Traditional, Housing Instability, Lease	Fact-specific proxy and Categorical Eligibility	W-9/Payee Information, Eviction Restrictions During Covered Period AND Future Months, Proof of ownership, Will not report late payments to credit bureaus for te households	https://www.housinglink.org/docs/default-source/default-document-library/program-guide---the-zero-balance-project-2021---081921.pdf?sfvrsn=a2ac6fda_2						8/31/2021	7/19/2022	Regional, Minnesota	45.0208911, -93.5094574
Tribal Government	Minnesota		Bois Forte Resevation Tribal Council	Bois Forte Emergency Rental Assistance	Bois Forte Emergency Rental Assistance is available to those who are behind on utility or rent payments or anticipate having problems paying rent or utilities in the future due to the COVID-19 pandemic, who has household members enrolled at Bois Forte or are currently renting on the Bois Forte reservation. Those eligible may receive assistance for future and past due rent payments, utility payments, or internet service. Only renters are eligible-not homeowners-and rent /utility payments must be from March 13, 2020 forward.	https://boisforte.com/bois-forte-emergency-rental-assistance/		Applications on hold/Waitlist	Bois Forte Housing Department	Single agency (public sector)	Unspecified	n/a	$1,349,968.86	Treasury ERA1 only	Both				Yes			Yes	Internet	Tenant	No		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card	Eviction Notice, Past Due Rent, Past due utility	Unknown	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information, Tribal ID	https://boisforte.com/bois-forte-emergency-rental-assistance/	https://portal.laserfiche.com/u7744/forms/ERA	https://boisforte.com/wp-content/uploads/2021/03/Emergency-Rental-Assistance-Program-Postcard-1-final_Page_1-e1616614866303.png				5/20/2021	7/19/2022	Bois Forte Resevation Tribal Council	48.1134271, -93.09674439999999
Tribal Government	Minnesota		Fond du Lac Band of Lake Superior Chippewa	Fond du Lac Reservation COVID Emergency Rental Assistance	Eligible Fond du Lac households may qualify for emergency rental and utility assistance. This assistance will pay rental and rental utilities that are in arrears from 3/13/2020, due to COVID related unemployment, illness or other issues. Applicants may download the application above, or obtain a physical application at the Housing office. Submittals with any attached documentation may be emailed to the email address below, or dropped at the Housing office. The deadline to apply is December 13, 2021, 5:00 pm.  	http://www.fdlrez.com/%5C/housing/index.htm		Accepting applications	Fond du Lac Housing Division	Single agency (public sector)	Unspecified	n/a	$4,766,497.96	Treasury ERA1 only	Arrears only	12 months			Yes			No		Tenant	No		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, Fond du Lac Reservation resident or Fond du Lac Band member or other Minnesota Chippewa Tribe	Past Due Rent, Past due utility	Yes	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information	http://www.fdlrez.com/%5C/housing/index.htm	http://www.fdlrez.com/%5C/housing/downloads/ERAflyer.pdf	http://www.fdlrez.com/%5C/housing/downloads/CERAApplication.pdf				5/20/2021	7/19/2022	Fond du Lac Band of Lake Superior Chippewa	46.6644288, -92.4802065
Tribal Government	Minnesota		Grand Portage Band of Lake Superior Chippewa	Grand Portage Band of Lake Superior Chippewa COVID-19 Emergency Rental Assistance Program	The COVID-19 Emergency Assistance Program will help eligible renters with overdue rent, up to three months of upcoming rent, and related utility payments.	https://www.facebook.com/GrandPortageBandofLakeSuperiorChippewa/posts/580850122829207		Accepting applications	Reservation Tribal Council	Single agency (public sector)	Unspecified	n/a	$518,878.18	Treasury ERA1 only	Both	12 months			Unknown			Unknown		Unknown	Unknown		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified		Unknown	Unknown		Unspecified								6/21/2021	7/19/2022	Grand Portage Band of Lake Superior Chippewa	47.9665535, -89.7667571
Tribal Government	Minnesota		Leech Lake Band Of Ojibwe	Leech Lake Band Of Ojibwe Emergency Rental Assistance Program	Through a federal grant, Leech Lake Human Services is able to assist individuals and families with expenses related to rent, utility and energy bills, and other household expenses.	https://www.llojibwe.org/tribalassistance/era.html		Program permanently closed	Leech Lake Human Services	Single agency (public sector)	Unspecified	n/a	$5,222,911.06	Treasury ERA1 only	Unknown				Yes		Electricity, gas, bulk fuel, water and sewer, trash	Yes	Internet	Tenant	Unknown		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, Member of a Minnesota Chippewa Tribe or a tenant of Leech Lake Housing Authority or a client of a social services with leech Lake Band of Ojibwe	Past Due Rent	Unknown	Self-Attestation Permitted	COVID Hardship, Housing Instability, Lease	Unspecified								5/19/2021	7/19/2022	Leech Lake Band Of Ojibwe	47.3839789, -94.6010599
Tribal Government	Minnesota		Mille Lacs Band of Ojibwe	Mille Lacs Band of Ojibwe COVID Emergency Rental Assistance	COVID-19 Assistance available under U.S. Treasury Emergency Rental Assistance funding	https://millelacsband.com/government/departmentspublic/more-about-aanji		Program permanently closed	Mille Lacs Band of Ojibwe	Single agency (public sector)	Unspecified	n/a	$2,086,304.27	Treasury ERA1 only	Both	12 months			Yes		Water, garbage, propane, electric	Yes	internet	Both	No		Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease	Past Due Rent	No	Self-Attestation Permitted	COVID Hardship	Unspecified	W-9/Payee Information							8/23/2021	7/19/2022	Mille Lacs Band of Ojibwe	46.1779922, -93.7552607
Tribal Government	Minnesota		Red Lake Band of Chippewa Indians	Red Lake Band of Chippewa Indians COVID-19 Emergency Rental Assistance	The COVID-19 Emergency Rental Assistance provides renters with assistance for the payment of rent costs and/or rental utilities. To qualify, you must be a Red Lake tribal member renting a residential dwelling on or off the Reservation. The application is available online one, accepted on a first-come, first-served basis until funding is eomplete.	https://www.redlakenation.org/covid-19-emergency-rental-assistance-program/		Program permanently closed	Red Lake Reservation Housing Authority	Single agency (public sector)	Unspecified	n/a	$5,843,078.07	Treasury ERA1 only	Both	15 months	12 months		Yes	12 months	Electricity, gas, water and sewer, trash removal, and energy costs	Yes	Uncategorized Housing Expenses	Both	Yes	21 days	Unspecified		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease	Eviction Notice, Past Due Rent	Yes	Self-Attestation Permitted	COVID Hardship	Unspecified	W-9/Payee Information	http://naihc.net/covid-19-resource/						4/27/2021	7/19/2022	Red Lake Band of Chippewa Indians	48.0511707, -95.00099279999999
Tribal Government	Minnesota		White Earth Band of Chippewa Indians	White Earth Covid Emergency Rental Assistance	Emergency funding is now available through the COVID-19 Emergency Rental Assistance (CERA) program administered by White Earth Homeless Program. Funds are available for rent and rental utilities only. Applications are being accepted beginning March 1, 2021, through December 13, 2021 at 5 p.m.	https://www.facebook.com/WhiteEarthNation/photos/a.381869258491783/5838620342816620/		Accepting applications	White Earth Department of Human Services--Homeless Program	Single agency (public sector)	Unspecified	n/a	$4,215,554.34	Treasury ERA1 only	Both	12 months			Yes		electric, water/sewer, propane, fuel oil, trash	Unknown		Unknown	No		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease	Past Due Rent, Past due utility	Unknown	Unknown		Unspecified	W-9/Payee Information, Tribal ID	https://www.facebook.com/WhiteEarthNation/photos/a.381869258491783/5838620342816620/	https://whiteearth.com/assets/files/home/news/CERA%20(002)[3].pdf					5/24/2021	7/19/2022	White Earth Band of Chippewa Indians	47.2332933, -95.7669803
